target_player,target_season,target_cluster,target_position,rec_1_name,rec_1_season,rec_1_position,rec_1_similarity,rec_2_name,rec_2_season,rec_2_position,rec_2_similarity,rec_3_name,rec_3_season,rec_3_position,rec_3_similarity,rec_4_name,rec_4_season,rec_4_position,rec_4_similarity,rec_5_name,rec_5_season,rec_5_position,rec_5_similarity
Jović,2021-2022,0,Forward,António Silva,2025-2026,Unknown,0.9999,Lukáš Haraslín,2025-2026,Other,0.9999,Youngwoo Seol,2025-2026,Other,0.9999,E. Hazard,2021-2022,Forward,0.9999,Hugo Bueno,2025-2026,Unknown,0.9998
Marcelo,2021-2022,0,Unknown,Emil Ceide,2021-2022,Other,1.0,Jonathan Silva,2021-2022,Other,1.0,Nordine Kandil,2021-2022,Other,1.0,Mouhamadou Diarra,2021-2022,Other,1.0,Luis Palma,2025-2026,Unknown,1.0
E. Hazard,2021-2022,0,Forward,Lukáš Haraslín,2025-2026,Other,1.0,António Silva,2025-2026,Unknown,1.0,Hugo Bueno,2025-2026,Unknown,1.0,Viktor Tsygankov,2025-2026,Forward,1.0,Timi Elšnik,2025-2026,Other,0.9999
Miguel Gutiérrez,2021-2022,0,Defender,Darian Males,2025-2026,Forward,0.9999,Cavani,2021-2022,Forward,0.9999,Javi Serrano,2025-2026,Midfielder,0.9998,Marko Rog,2025-2026,Other,0.9997,Arthur Vermeeren,2025-2026,Other,0.9997
Ceballos,2021-2022,0,Midfielder,Hyunjun,2025-2026,Unknown,1.0,Javier Serrano,2021-2022,Other,1.0,Andy Robertson,2025-2026,Other,1.0,Jon Gorenc Stanković,2025-2026,Other,1.0,Giuliano Simeone,2025-2026,Unknown,1.0
Mariano Díaz,2021-2022,0,Forward,Marco John,2021-2022,Other,1.0,Naouirou Ahamada,2021-2022,Other,1.0,Samuel Umtiti,2021-2022,Unknown,1.0,Nico O’Reilly,2025-2026,Unknown,1.0,Lukáš Pauschek,2025-2026,Other,1.0
Vallejo,2021-2022,0,Defender,Gregory Wüthrich,2025-2026,Defender,1.0,Matias Fernandez-Pardo,2025-2026,Unknown,1.0,De Winter,2021-2022,Defender,1.0,Soungoutou Magassa,2025-2026,Other,1.0,Luka Stojković,2025-2026,Unknown,1.0
Bale,2021-2022,0,Forward,Ricardo Pepi,2025-2026,Other,1.0,Shola Shoretire,2021-2022,Other,1.0,Martín,2021-2022,Other,1.0,Aleksandar Katai,2025-2026,Forward,1.0,Panagiotis Retsos,2021-2022,Other,1.0
Minamino,2021-2022,0,Forward,Gosens,2021-2022,Midfielder,1.0,Corona,2021-2022,Forward,1.0,Jahmai Simpson-Pusey,2025-2026,Unknown,1.0,Palmer,2021-2022,Midfielder,0.9999,Dan Ndoye,2025-2026,Other,0.9999
Tyler Morton,2021-2022,0,Other,Bradarić,2021-2022,Defender,1.0,Julien,2021-2022,Defender,1.0,Krépin Diatta,2025-2026,Unknown,1.0,Julian Baumgartlinger,2021-2022,Unknown,1.0,Anrie Chase,2025-2026,Other,1.0
Phillips,2021-2022,0,Defender,George Ilenikhena,2025-2026,Other,1.0,Marc Roca,2021-2022,Defender,1.0,Bakayoko,2021-2022,Defender,0.9999,Erokhin,2021-2022,Midfielder,0.9999,Ranocchia,2021-2022,Defender,0.9999
Elliott,2021-2022,0,Midfielder,Maignan,2021-2022,Goalkeeper,1.0,Lionel Messi,2021-2022,Unknown,1.0,Konrad Laimer,2021-2022,Unknown,1.0,Kylian Mbappé,2021-2022,Unknown,0.9999,Stanislav Lobotka,2021-2022,Unknown,0.9998
Woltman,2021-2022,0,Midfielder,Savage,2021-2022,Midfielder,1.0,Iqbal,2021-2022,Midfielder,1.0,Bradley,2021-2022,Midfielder,1.0,Gil Dias,2021-2022,Midfielder,1.0,Chemsdine Talbi,2025-2026,Unknown,1.0
Bradley,2021-2022,0,Midfielder,Savage,2021-2022,Midfielder,1.0,Iqbal,2021-2022,Midfielder,1.0,Woltman,2021-2022,Midfielder,1.0,Gil Dias,2021-2022,Midfielder,1.0,Chemsdine Talbi,2025-2026,Unknown,1.0
Vlachodimos,2021-2022,0,Goalkeeper,Handanovič,2021-2022,Goalkeeper,1.0,Nuno Santos,2021-2022,Forward,1.0,Timon Wellenreuther,2025-2026,Unknown,0.9999,Pasveer,2021-2022,Goalkeeper,0.9999,Alexander Nübel,2025-2026,Unknown,0.9999
Oblak,2021-2022,0,Goalkeeper,Szczęsny,2021-2022,Goalkeeper,0.9999,Anatoliy Trubin,2025-2026,Unknown,0.9998,Köhn,2021-2022,Goalkeeper,0.9998,Gianluigi Donnarumma,2025-2026,Unknown,0.9998,Eric Maxim Choupo-Moting,2021-2022,Unknown,0.9995
Köhn,2021-2022,0,Goalkeeper,Anatoliy Trubin,2025-2026,Unknown,1.0,Eric Maxim Choupo-Moting,2021-2022,Unknown,0.9999,Bounou,2021-2022,Goalkeeper,0.9998,Oblak,2021-2022,Goalkeeper,0.9998,Szczęsny,2021-2022,Goalkeeper,0.9994
Handanovič,2021-2022,0,Goalkeeper,Vlachodimos,2021-2022,Goalkeeper,1.0,Nuno Santos,2021-2022,Forward,1.0,Timon Wellenreuther,2025-2026,Unknown,1.0,Pasveer,2021-2022,Goalkeeper,0.9999,Mehmet Topal,2021-2022,Unknown,0.9999
Adán,2021-2022,0,Goalkeeper,Asger Sørensen,2025-2026,Defender,0.9998,Hateboer,2021-2022,Defender,0.9998,Gulácsi,2021-2022,Goalkeeper,0.9993,Kobel,2021-2022,Goalkeeper,0.9993,Donnarumma,2021-2022,Unknown,0.9991
Szczęsny,2021-2022,0,Goalkeeper,Gianluigi Donnarumma,2025-2026,Unknown,1.0,Oblak,2021-2022,Goalkeeper,0.9999,Mattia Zaccagni,2021-2022,Unknown,0.9997,Marvin Keller,2025-2026,Unknown,0.9996,Anatoliy Trubin,2025-2026,Unknown,0.9995
De Gea,2021-2022,0,Goalkeeper,Leandro Paredes,2021-2022,Unknown,1.0,Faivre,2021-2022,Goalkeeper,0.9997,Dani Alves,2021-2022,Unknown,0.9997,David Raya,2025-2026,Unknown,0.9996,Sergio Ramos,2021-2022,Unknown,0.9981
Bounou,2021-2022,0,Goalkeeper,Eric Maxim Choupo-Moting,2021-2022,Unknown,1.0,Köhn,2021-2022,Goalkeeper,0.9998,Anatoliy Trubin,2025-2026,Unknown,0.9998,Oblak,2021-2022,Goalkeeper,0.9992,Bushchan,2021-2022,Goalkeeper,0.9991
Kobel,2021-2022,0,Goalkeeper,Gulácsi,2021-2022,Goalkeeper,1.0,Donnarumma,2021-2022,Unknown,1.0,Bushchan,2021-2022,Goalkeeper,0.9994,Adán,2021-2022,Goalkeeper,0.9993,Asger Sørensen,2025-2026,Defender,0.9984
Mignolet,2021-2022,0,Goalkeeper,Mignolet,2025-2026,Goalkeeper,0.9999,Hateboer,2021-2022,Defender,0.9993,Asger Sørensen,2025-2026,Defender,0.9993,Adán,2021-2022,Goalkeeper,0.9984,Gregor Kobel,2025-2026,Unknown,0.9979
Juan Musso,2021-2022,0,Other,Roberto Pereyra,2021-2022,Unknown,1.0,Stephan El Shaarawy,2021-2022,Unknown,1.0,Junior Messias,2021-2022,Unknown,1.0,Matty Cash,2021-2022,Unknown,1.0,Radamel Falcao,2021-2022,Unknown,1.0
Pasveer,2021-2022,0,Goalkeeper,Timon Wellenreuther,2025-2026,Unknown,1.0,Mehmet Topal,2021-2022,Unknown,1.0,Nuno Santos,2021-2022,Forward,1.0,Handanovič,2021-2022,Goalkeeper,0.9999,Ridle Baku,2021-2022,Other,0.9999
Grbić,2021-2022,0,Goalkeeper,Abdou Diallo,2021-2022,Unknown,1.0,Ángel Di María,2021-2022,Unknown,1.0,Kingsley Coman,2021-2022,Unknown,1.0,Jürgen Locadia,2021-2022,Unknown,1.0,Nabil Bentaleb,2021-2022,Unknown,1.0
