algorithm,eps,min_samples,cluster_count,noise_count,noise_ratio,silhouette_non_noise,non_noise_count
dbscan,0.15,5,4,53,0.00265,0.2547998911715041,19947
dbscan,0.15,10,2,139,0.00695,0.416208267294711,19861
dbscan,0.15,20,1,433,0.02165,,19567
dbscan,0.25,5,1,10,0.0005,,19990
dbscan,0.25,10,1,24,0.0012,,19976
dbscan,0.25,20,1,78,0.0039,,19922
dbscan,0.35,5,1,1,5e-05,,19999
dbscan,0.35,10,1,4,0.0002,,19996
dbscan,0.35,20,1,12,0.0006,,19988
dbscan,0.5,5,1,1,5e-05,,19999
dbscan,0.5,10,1,1,5e-05,,19999
dbscan,0.5,20,1,1,5e-05,,19999
dbscan,0.75,5,1,0,0.0,,20000
dbscan,0.75,10,1,0,0.0,,20000
dbscan,0.75,20,1,0,0.0,,20000
dbscan,1.0,5,1,0,0.0,,20000
dbscan,1.0,10,1,0,0.0,,20000
dbscan,1.0,20,1,0,0.0,,20000
dbscan,1.25,5,1,0,0.0,,20000
dbscan,1.25,10,1,0,0.0,,20000
dbscan,1.25,20,1,0,0.0,,20000
dbscan,1.5,5,1,0,0.0,,20000
dbscan,1.5,10,1,0,0.0,,20000
dbscan,1.5,20,1,0,0.0,,20000
