k,threshold,nodes,edges,density,components,largest_component_pct,isolated_nodes,mean_degree
5,0.1,3670,12998,0.0019306,2,99.56,0,7.0834
5,0.15,3670,12998,0.0019306,2,99.56,0,7.0834
5,0.2,3670,12967,0.001926,2,99.56,0,7.0665
5,0.3,3670,12284,0.00182455,91,85.37,78,6.6943
8,0.1,3670,20620,0.0030627,1,100.0,0,11.2371
8,0.15,3670,20620,0.0030627,1,100.0,0,11.2371
8,0.2,3670,20535,0.00305008,1,100.0,0,11.1907
8,0.3,3670,19093,0.0028359,91,85.37,78,10.4049
12,0.1,3670,30751,0.00456747,1,100.0,0,16.758
12,0.15,3670,30751,0.00456747,1,100.0,0,16.758
12,0.2,3670,30560,0.0045391,1,100.0,0,16.654
12,0.3,3670,27722,0.00411757,90,85.37,78,15.1074
