player_name,position_group,minutes_played,rating
Ricardo Pereira,DEF,991,3.460184408173229
Vladimír Coufal,DEF,2209,3.0561579975125253
Ramy Bensebaini,DEF,2020,2.9467190357897173
João Cancelo,DEF,3227,2.9213189644831687
Patrik Schick,FW,2076,3.958875661564144
Mohamed Salah,FW,2762,3.8944954474243856
Erling Haaland,FW,1911,3.7596589231891553
Alisson,GK,3240,1.0069613554567518
Exequiel Palacios,MID,1097,2.697065200155987
Kevin De Bruyne,MID,2201,2.6442569508386087
Thorgan Hazard,MID,1337,2.4227503614888817
