player,weighted_degree,betweenness,eigenvector
Trent Alexander-Arnold,32,0.1571969696969697,0.20756676164022328
Jordan Brian Henderson,32,0.09491341991341991,0.23693225365018833
Fábio Henrique Tavares,27,0.09264069264069263,0.21541509009380483
Mohamed Salah,26,0.08295454545454545,0.32226158286831097
Joël Andre Job Matip,29,0.0779040404040404,0.14215160876970617
Virgil van Dijk,43,0.059848484848484845,0.2376429840184936
Divock Okoth Origi,16,0.05202020202020202,0.18976814666291753
Sadio Mané,46,0.05171356421356421,0.5032175843938712
Georginio Wijnaldum,21,0.0448953823953824,0.20312136824224725
James Philip Milner,10,0.042117604617604616,0.09578995769389621
Andrew Robertson,63,0.032720057720057726,0.474483271976114
Roberto Firmino Barbosa de Oliveira,21,0.022997835497835496,0.25869665117716883
Alisson Ramsés Becker,38,0.010606060606060605,0.2052059073281509
