player,weighted_degree,betweenness,eigenvector
Harry Kane,24,0.23183760683760682,0.07380673906805553
Lucas Rodrigues Moura da Silva,12,0.17628205128205127,0.042840819411258224
Bamidele Alli,63,0.15384615384615385,0.16351093667409225
Toby Alderweireld,122,0.09829059829059827,0.5106468807139622
Heung-Min Son,47,0.09561965811965811,0.14117546247354218
Kieran Trippier,95,0.0689102564102564,0.278934468873837
Harry Winks,79,0.0625,0.25819066283413805
Fernando Llorente Torres,7,0.0625,0.03659750436746908
Danny Rose,76,0.04487179487179487,0.24851441638266641
Christian Dannemann Eriksen,75,0.04006410256410256,0.2043710836641835
Eric Dier,17,0.03899572649572649,0.07243417138173096
Hugo Lloris,89,0.03098290598290598,0.3847222926693899
Jan Vertonghen,130,0.00908119658119658,0.4962544772008762
Moussa Sissoko,58,0.004273504273504273,0.1908690877109547
