feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33
matches_played,-0.2539996897708258,0.24988922255571003,-0.09046547381714377,0.034888346997797144,0.00148115894763032,0.004658206231240082,-0.04621767433165994,-0.1386401454215057,-0.0660422621272284,-0.08539659820037335,-0.026099387417021617,-0.0428912004671018,-0.03189326433280606,0.11070963809105525,-0.06216806202288875,-0.21176095583138757,-0.2314606715247983,0.08805892616003248,0.0591934420249583,-0.07306699996855662,0.02129701835724703,-0.08102817438319064,-0.008004195220595011,0.04930491459220636,-0.04985956130910163,0.7130417124172118,0.02287796373846649,0.14391858728199797,-0.2485426506880398,0.30126545785096664,0.03656887061763496,0.019840546952932223,0.0
minutes_played,-0.19107960850084815,0.29615472724260383,-0.15970962339068687,-0.07590143854619433,-0.051078501547219164,0.08648440648138242,-0.03580652056382827,-0.10180663451099177,-0.06987712784212699,-0.07069789677741165,0.009989783460768334,0.019399549690047153,-0.03236765797318349,-0.015354273070306849,0.04800253633650916,-0.014996580342978686,-0.33586043044770875,0.18553734326564805,0.06764481012376292,-0.1956326832898478,-0.030847364501739628,0.007820629821361391,-0.008918609593224741,-0.025249759459841214,-0.022474294836604305,0.01977156321963658,-0.22626128740853338,-0.019279132302290183,0.6096661118122478,-0.4227241239199958,0.09656933259191616,-0.06802744185366345,3.553196060432946e-15
goals,-0.13500065215985807,0.2797156634659936,0.19928250079174656,0.004087607867696481,0.09169278554043571,-0.12919147482945517,0.21362340318670775,0.11628849749230934,-0.11630699616647988,0.1523653107300527,-0.11177330418575081,-0.021771149366238918,-0.07541985185123995,-0.16751361479568597,-0.022586361368228773,-0.07240148897701994,0.15720362746304978,-0.1230600318830998,0.2520611615394971,-0.07968454314960942,0.026146693949041087,0.10757401729490075,0.17016734894453397,0.7051238905638468,0.16382053331122756,-0.03128725767526452,-0.021349485600010838,-0.11498265449113802,0.013606129538385232,-0.022358215601886243,-0.002296548481296275,-0.00033283363612479557,2.3182399054951203e-15
assists,-0.11246192492315012,0.26057749384445256,0.07762688514183937,0.012293869553413469,0.23679386075219555,-0.012903691465715574,0.22856638613066985,-0.048500178163975005,0.39358749726546505,-0.02372329586820131,0.14907359228619857,0.026554165769538993,0.04075209780267845,0.07785973857382901,-0.08003542760661524,-0.021038644011819544,0.19447687252705423,-0.033858667328248285,0.5136432428544726,0.21708346922151578,-0.40661542996296907,-0.030588803852313495,-0.10648786902629148,-0.279531073657017,-0.05035989193494561,-0.01946310557994062,-0.010194918244885559,0.014669617368143961,0.01618198957866075,-0.01736086267727728,0.000318604958274179,7.501400559638028e-05,-1.4025272585513958e-15
shots,0.11312413596840266,0.27157487105646605,0.1919580346396414,-0.02023677515816415,-0.07822785903011664,-0.06175067023792764,-0.2560188760682693,-0.32795341612550694,0.007748348670361946,-0.015381858372586392,-0.020155782975383757,0.051089956987640184,0.05596278727556788,-0.07828590364379195,0.052692288134221214,-0.061868281774296804,0.3834213942337496,0.010579263817103838,-0.010316901073212368,-0.28810629082929307,0.16348216640275323,-0.08451829647173278,0.01886195099727808,-0.21125801993417437,-0.06926881379791078,0.07847385976456271,-0.08525120302287169,-0.5866808368638514,-0.04075952417129232,0.027501264541483706,-0.007375800726754174,-0.0011854735088613394,-5.160024614870098e-15
shots_on_target,0.1081311565563075,0.27137935828345694,0.2552520066842015,-0.10238934229826875,-0.1253073253293242,-0.021178460388772233,-0.258988435363441,0.019291714930492074,-0.03734913374253055,-0.11993861066449729,0.08803881362698604,0.01625921731210124,0.06821500352913368,0.1547674306060358,-0.07938512929198532,0.008113832381039628,0.28523974783230305,-0.060745801339825066,0.06182426248852155,-0.23984101118589535,0.18287141770110427,-0.14362194168497341,-0.20672194140192596,0.027975345287875097,0.08578499092589806,-0.12156338140974919,0.07487897443134733,0.6472254895817035,0.07581679328202359,-0.014488731127757058,0.008125296379693354,0.002130533542541997,4.618735571920627e-15
passes_completed,0.12499859176093893,0.2802623861441264,-0.21838520384934235,-0.2303949028665075,-0.011491790340724643,0.1979474848453932,-0.01701332486019076,-0.027299352365275552,0.04504735855743049,0.13676670605509797,-0.17268464246060405,-0.168538645371281,-0.08767806433893295,0.04351835873572443,-0.01670250574563275,0.013382676823623442,-0.13462987111027688,0.08667207645100665,0.03712077521308851,-0.07219440354313256,-0.022722869340198282,0.013192722814511951,0.005285725402331675,-0.018264745821093047,0.030721833713635974,-0.2293412052786601,0.13244703412716816,-0.016723808559624184,-0.2349870071271052,0.0880007301248393,-0.25830312924908566,-0.6643640892093708,4.0621676384834947e-14
passes_attempted,0.11848397882367517,0.2806711311819329,-0.20665450006617894,-0.23020640547131654,-0.020040874488794023,0.2263642741804655,-0.006416087192987204,-0.05462175518773097,0.030425213826577445,0.11144361635289791,-0.14198673146926588,-0.21014900002947745,-0.15148543124120803,0.022372932759796366,-0.044486085757325884,0.030819852173867596,-0.13836871429521883,0.09607981365809681,0.03489896259938819,-0.06863174661763029,-0.021879756167583836,0.006049221237306931,0.00746637657947574,-0.020838801480748733,0.033049084088623996,-0.2664476211790378,0.11362657420480692,-0.03338229150178536,-0.19829548587002652,0.05137010962346587,0.15538474327233065,0.6820882913918425,-4.0864786016039276e-14
tackles,0.1423873422117878,0.23113777151777984,-0.2077271378345349,0.023487631778580455,0.07558941504610008,-0.09986422390281413,0.1271573091666128,-0.022050507445806052,-0.15847750845979083,-0.33211934451719954,0.04001515738582679,-0.2684306530016077,0.2716998215471803,-0.021363647486504916,0.12456569091244378,-0.0943698862921445,0.09527537543541828,-0.21350283474729073,-0.26588337728116046,0.17705513920862567,-0.16338390923334162,-0.17307239093805613,0.2097146492995821,-0.09074864676371017,0.5178758904570641,0.03306381745206846,0.016873792249880448,-0.014995378021169447,0.08394785379757964,0.005513940764304776,-0.005986466654631415,0.002010280540117825,-6.591541469268634e-16
interceptions,0.14776455924614093,0.2039796456355983,-0.2511403776617045,-0.04629769351550909,0.06893132589402329,-0.24825873165744863,-0.02432236386361362,-0.10632408433879298,-0.13982847328578557,0.17209370249488645,0.19922645137098682,0.24915204208017214,-0.1860785744476565,0.16384645858657795,-0.10463239308930022,-0.019334844967606735,0.05586269586919911,-0.14443859111720792,-0.22781821385397072,0.23226690816163761,-0.12697145298387966,-0.4185703262077896,0.09224083144266687,0.19638460799843188,-0.4361318239177406,-0.07194394173240094,0.0233637878331869,0.005458437855864687,0.07090794469649392,-0.001774375991952412,-0.01030769622691607,0.0018908922122864889,-7.548520911870479e-16
