component,explained_variance_ratio,cumulative_explained_variance
PC1,0.26538393369919766,0.26538393369919766
PC2,0.1897185098151332,0.4551024435143308
PC3,0.12156950936284301,0.5766719528771739
PC4,0.09668644066698107,0.6733583935441549
PC5,0.05169785070452672,0.7250562442486816
PC6,0.039957006857562365,0.765013251106244
PC7,0.03496320163207012,0.7999764527383141
PC8,0.030050388456006164,0.8300268411943202
PC9,0.026100289508998183,0.8561271307033185
PC10,0.02504336077210998,0.8811704914754285
PC11,0.020486395433624238,0.9016568869090527
PC12,0.01841415245750647,0.9200710393665591
PC13,0.01685062078752323,0.9369216601540823
PC14,0.014165236706160949,0.9510868968602433
PC15,0.012327062594020681,0.963413959454264
PC16,0.007793341576777128,0.9712073010310411
PC17,0.0068825618795597876,0.978089862910601
PC18,0.004860188627772689,0.9829500515383737
PC19,0.003519892369809707,0.9864699439081833
PC20,0.003353518777043465,0.9898234626852268
PC21,0.002362336625469082,0.9921857993106958
PC22,0.0016772248986021063,0.993863024209298
PC23,0.0014622405203839283,0.9953252647296819
PC24,0.001145236432201986,0.9964705011618838
PC25,0.0009160940813736503,0.9973865952432575
PC26,0.000826610424687378,0.9982132056679448
PC27,0.000738638863688179,0.998951844531633
PC28,0.00039816164121592,0.9993500061728489
PC29,0.0003309792429474816,0.9996809854157963
PC30,0.00026566657787367726,0.9999466519936699
PC31,2.958928854359942e-05,0.9999762412822135
PC32,2.3758717786119572e-05,0.9999999999999997
PC33,2.0180372881631736e-17,0.9999999999999997
