team,player,xg,goals,shots
Liverpool,Mohamed Salah,0.937532585,1,6
Tottenham Hotspur,Bamidele Alli,0.33853526,0,3
Tottenham Hotspur,Lucas Rodrigues Moura da Silva,0.20356458,0,2
Tottenham Hotspur,Heung-Min Son,0.12390858299999999,0,3
Liverpool,Divock Okoth Origi,0.077972755,1,1
Tottenham Hotspur,Christian Dannemann Eriksen,0.076392503,0,3
Liverpool,Virgil van Dijk,0.061952036,0,1
Tottenham Hotspur,Jan Vertonghen,0.057148643,0,1
Tottenham Hotspur,Harry Kane,0.05069226,0,1
Tottenham Hotspur,Danny Rose,0.047833169,0,2
Liverpool,Jordan Brian Henderson,0.045744296000000004,0,2
Liverpool,James Philip Milner,0.044091757,0,1
Tottenham Hotspur,Moussa Sissoko,0.026188651,0,1
Liverpool,Fábio Henrique Tavares,0.020487793,0,1
Liverpool,Andrew Robertson,0.0091631785,0,1
Liverpool,Trent Alexander-Arnold,0.0062032556,0,1
