season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,goles_asistencias,cambios,amarillas,rojas,posesion_total,posesion_1T,posesion_2T,faltas_total,faltas_1T,faltas_2T,corners_total,corners_1T,corners_2T
2010-2011,Octavos,Ida,15-02-2011,Valencia,Schalke 04,1-1,2-4,Mestalla,Valencia,España,NULL,Unai Emery,Ralf Rangnick,Soldado 17'; Raul 64',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,09-03-2011,Schalke 04,Valencia,3-1,4-2,Veltins-Arena,Gelsenkirchen,Alemania,NULL,Ralf Rangnick,Unai Emery,Farfan 40'; Gavranovic 52'; Kuranyi 90'; Soldado 17',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,16-02-2011,AC Milan,Tottenham,0-1,0-1,San Siro,Milan,Italia,NULL,Massimiliano Allegri,Harry Redknapp,Crouch 80',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,09-03-2011,Tottenham,AC Milan,0-0,1-0,White Hart Lane,Londres,Inglaterra,NULL,Harry Redknapp,Massimiliano Allegri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,15-02-2011,Arsenal,Barcelona,2-1,3-4,Emirates Stadium,Londres,Inglaterra,NULL,Arsene Wenger,Pep Guardiola,Van Persie 78'; Arshavin 83'; Villa 26',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,08-03-2011,Barcelona,Arsenal,3-1,4-3,Camp Nou,Barcelona,España,NULL,Pep Guardiola,Arsene Wenger,Messi 45'; Xavi 69'; Messi 71'; Busquets OG 53',NULL,NULL,Van Persie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,16-02-2011,Roma,Shakhtar,2-3,2-6,Olimpico,Roma,Italia,NULL,Claudio Ranieri,Mircea Lucescu,Perrotta 28'; Menez 61'; Jadson 29'; Douglas Costa 36'; Luiz Adriano 41',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,08-03-2011,Shakhtar,Roma,3-0,6-2,Donbass Arena,Donetsk,Ucrania,NULL,Mircea Lucescu,Claudio Ranieri,Hubschman 18'; Willian 58'; Eduardo 87',NULL,NULL,Mexes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,22-02-2011,Inter,Bayern Munich,0-1,3-3,San Siro,Milan,Italia,NULL,Leonardo,Louis van Gaal,Gomez 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,15-03-2011,Bayern Munich,Inter,2-3,3-3,Allianz Arena,Munich,Alemania,NULL,Louis van Gaal,Leonardo,Gomez 21'; Muller 31'; Eto'o 4'; Sneijder 63'; Pandev 88',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,23-02-2011,Marseille,Manchester United,0-0,1-2,Velodrome,Marseille,Francia,NULL,Didier Deschamps,Alex Ferguson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,15-03-2011,Manchester United,Marseille,2-1,2-1,Old Trafford,Manchester,Inglaterra,NULL,Alex Ferguson,Didier Deschamps,Chicharito 5'; 75'; Brown OG 82',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,22-02-2011,Copenhagen,Chelsea,0-2,0-2,Parken Stadium,Copenhague,Dinamarca,NULL,Stale Solbakken,Carlo Ancelotti,Anelka 17'; 54',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,16-03-2011,Chelsea,Copenhagen,0-0,2-0,Stamford Bridge,Londres,Inglaterra,NULL,Carlo Ancelotti,Stale Solbakken,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,23-02-2011,Lyon,Real Madrid,1-1,1-4,Stade Gerland,Lyon,Francia,NULL,Claude Puel,Jose Mourinho,Gomis 47'; Benzema 65',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,16-03-2011,Real Madrid,Lyon,3-0,4-1,Santiago Bernabeu,Madrid,España,NULL,Jose Mourinho,Claude Puel,Marcelo 37'; Benzema 66'; Di Maria 76',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,05-04-2011,Real Madrid,Tottenham,4-0,5-0,Santiago Bernabeu,Madrid,España,NULL,Jose Mourinho,Harry Redknapp,Adebayor 4'; 57'; Di Maria 72'; Ronaldo 87',NULL,NULL,Crouch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,13-04-2011,Tottenham,Real Madrid,0-1,0-5,White Hart Lane,Londres,Inglaterra,NULL,Harry Redknapp,Jose Mourinho,Ronaldo 50',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,05-04-2011,Inter,Schalke 04,2-5,3-7,San Siro,Milan,Italia,NULL,Leonardo,Ralf Rangnick,Stankovic 1'; Milito 34'; Matip 17'; Edu 40'; Raul 53'; Ranocchia OG 57'; Edu 75',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,13-04-2011,Schalke 04,Inter,2-1,7-3,Veltins-Arena,Gelsenkirchen,Alemania,NULL,Ralf Rangnick,Leonardo,Raul 45'; Howedes 81'; Motta 49',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,06-04-2011,Barcelona,Shakhtar,5-1,6-1,Camp Nou,Barcelona,España,NULL,Pep Guardiola,Mircea Lucescu,Iniesta 2'; Alves 34'; Pique 53'; Keita 60'; Xavi 86'; Rakitskiy 59',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,12-04-2011,Shakhtar,Barcelona,0-1,1-6,Donbass Arena,Donetsk,Ucrania,NULL,Mircea Lucescu,Pep Guardiola,Messi 43',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,06-04-2011,Chelsea,Manchester United,0-1,1-3,Stamford Bridge,Londres,Inglaterra,NULL,Carlo Ancelotti,Alex Ferguson,Rooney 24',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,12-04-2011,Manchester United,Chelsea,2-1,3-1,Old Trafford,Manchester,Inglaterra,NULL,Alex Ferguson,Carlo Ancelotti,Chicharito 43'; Park 77'; Drogba 77',NULL,NULL,Ramires,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Ida,26-04-2011,Real Madrid,Barcelona,0-2,1-3,Santiago Bernabeu,Madrid,España,NULL,Jose Mourinho,Pep Guardiola,Messi 76'; 87',NULL,NULL,Pepe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Vuelta,03-05-2011,Barcelona,Real Madrid,1-1,3-1,Camp Nou,Barcelona,España,NULL,Pep Guardiola,Jose Mourinho,Pedro 54'; Marcelo 64',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Ida,26-04-2011,Schalke 04,Manchester United,0-2,1-6,Veltins-Arena,Gelsenkirchen,Alemania,NULL,Ralf Rangnick,Alex Ferguson,Giggs 67'; Rooney 69',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Vuelta,04-05-2011,Manchester United,Schalke 04,4-1,6-1,Old Trafford,Manchester,Inglaterra,NULL,Alex Ferguson,Ralf Rangnick,Valencia 26'; Gibson 31'; Anderson 72'; 76'; Jurado 35',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Final,Final,28-05-2011,Barcelona,Manchester United,3-1,NULL,Wembley,Londres,Inglaterra,NULL,Pep Guardiola,Alex Ferguson,Pedro 27'; Messi 54'; Villa 69'; Rooney 34',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,14-02-2012,Bayer Leverkusen,Barcelona,1-3,2-10,BayArena,Leverkusen,Alemania,NULL,NULL,NULL,Kadlec 52'; Messi 41'; 88'; Alexis 55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,07-03-2012,Barcelona,Bayer Leverkusen,7-1,10-2,Camp Nou,Barcelona,España,NULL,NULL,NULL,Messi 25'; 42'; 49'; 58'; 85'; Tello 55'; 62'; Bellarabi 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,15-02-2012,AC Milan,Arsenal,4-0,4-3,San Siro,Milán,Italia,NULL,NULL,NULL,Boateng 15'; Robinho 38'; 49'; Ibrahimovic 79',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,06-03-2012,Arsenal,AC Milan,3-0,3-4,Emirates Stadium,Londres,Inglaterra,NULL,NULL,NULL,Koscielny 7'; Rosicky 26'; Van Persie 43',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,14-02-2012,Lyon,APOEL,1-0,1-1,Stade Gerland,Lyon,Francia,NULL,NULL,NULL,Lacazette 58',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,07-03-2012,APOEL,Lyon,1-0,1-1,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,Manduca 9',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,15-02-2012,Zenit,Benfica,3-2,3-4,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,NULL,Shirokov 27'; 71'; Semak 88'; Pereira 20'; Cardozo 87',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,06-03-2012,Benfica,Zenit,2-0,4-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,Pereira 45'; Nelson Oliveira 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,21-02-2012,CSKA Moscow,Real Madrid,1-1,2-5,Luzhniki Stadium,Moscú,Rusia,NULL,NULL,NULL,Wernbloom 90'; Ronaldo 28',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,14-03-2012,Real Madrid,CSKA Moscow,4-1,5-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,Higuain 26'; Ronaldo 55'; 90'; Benzema 70'; Tosic 77',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,21-02-2012,Napoli,Chelsea,3-1,4-5,Stadio San Paolo,Napoles,Italia,NULL,NULL,NULL,Lavezzi 38'; 65'; Cavani 45'; Mata 27',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,14-03-2012,Chelsea,Napoli,4-1,5-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,Drogba 28'; Terry 47'; Lampard 75'; Ivanovic 105'; Inler 55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,22-02-2012,Marseille,Inter,1-0,2-2,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,Ayew 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,13-03-2012,Inter,Marseille,2-1,2-2,San Siro,Milán,Italia,NULL,NULL,NULL,Milito 75'; 90'; Brandao 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,22-02-2012,Basel,Bayern Munich,1-0,1-7,St. Jakob-Park,Basilea,Suiza,NULL,NULL,NULL,Stocker 86',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,13-03-2012,Bayern Munich,Basel,7-0,7-1,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,Gomez 23'; 42'; 50'; 61'; 67'; Robben 11'; Muller 81',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,27-03-2012,APOEL,Real Madrid,0-3,2-8,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,Benzema 74'; Kaka 82'; Benzema 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,04-04-2012,Real Madrid,APOEL,5-2,8-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,Ronaldo 26'; 49'; Kaka 37'; Callejon 80'; Di Maria 83'; Manduca 67'; Solari 75',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,27-03-2012,Benfica,Chelsea,0-1,1-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,Kalou 75',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,04-04-2012,Chelsea,Benfica,2-1,3-1,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,Lampard 21'; Meireles 90'; Javi Garcia 85',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,28-03-2012,AC Milan,Barcelona,0-0,1-3,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,03-04-2012,Barcelona,AC Milan,3-1,3-1,Camp Nou,Barcelona,España,NULL,NULL,NULL,Messi 11'; 41'; Iniesta 53'; Nocerino 32',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,28-03-2012,Marseille,Bayern Munich,0-2,0-4,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,Gomez 44'; Robben 69',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
