column,dtype,missing,missing_%,description,example
season,object,0,0.0,Season of the competition,2010-2011
fase,object,0,0.0,Competition phase,Octavos
instancia,object,0,0.0,Match round,Ida
fecha,datetime64[ns],0,0.0,Match date,2011-02-15 00:00:00
local,object,0,0.0,Home team,Valencia
visitante,object,0,0.0,Away team,Schalke 04
marcador,object,0,0.0,Match score,1-1
global,object,0,0.0,Aggregate score in knockout rounds,2-4
estadio,object,0,0.0,Stadium name,Mestalla
ciudad,object,0,0.0,City,Valencia
pais,object,0,0.0,Country,España
arbitro_principal,object,35,7.87,No description available,Aleksei Nikolaev
arbitros_linea,object,52,11.69,No description available,Tikhon Kalugin; Anton Averianov
entrenador_local,object,0,0.0,Home coach,Unai Emery
entrenador_visitante,object,0,0.0,Away coach,Felix Magath
planteles,object,0,0.0,No description available,"Valencia: Guaita; D. Navarro, Ricardo Costa, Mathieu, Miguel; Mehmet Topal, Banega, Domínguez; Aritz Aduriz, Soldado, Costa | Schalke 04: Neuer; Höwedes, Metzelder, Matip, Uchida; Kluge, Jurado; Farfán, Raúl González, Schmitz; Huntelaar"
tiros_totales,int64,0,0.0,Total number of shots in the match,24
tiros_totales_local,int64,0,0.0,Total shots by home team,15
tiros_totales_visitante,int64,0,0.0,Total shots by away team,9
tiros_puerta,int64,0,0.0,Total shots on target,11
tiros_puerta_local,int64,0,0.0,Shots on target by home team,6
tiros_puerta_visitante,int64,0,0.0,Shots on target by away team,5
goles,object,0,0.0,No description available,Soldado 17'; Raul 64'
cambios,object,0,0.0,No description available,68' Joaquín x Domínguez; 68' Vicente x Banega; 78' Jordi Alba x Mathieu; 78' Draxler x Farfán; 83' Edu x Jurado; 90' Junmin x Huntelaar
amarillas,object,124,27.87,No description available,Matip 16'; Ricardo Costa 62'; Schmitz 65'; Neuer 78'; Jurado 80'; Schmitz 90'+3
rojas,object,304,68.31,No description available,Schmitz
posesion_local,object,0,0.0,Home team possession (%),65%
posesion_visitante,object,0,0.0,Away team possession (%),35%
faltas_total,int64,0,0.0,Total fouls,30
faltas_local,int64,0,0.0,Fouls by home team,9
faltas_visitante,int64,0,0.0,Fouls by away team,21
corners_total,int64,0,0.0,Total corners,12
corners_local,int64,0,0.0,Corners by home team,5
corners_visitante,int64,0,0.0,Corners by away team,7
home_goals,int64,0,0.0,Goals scored by home team,1
away_goals,int64,0,0.0,Goals scored by away team,1
expected_threat_total,float64,9681,100.0,Processed player-match proxy for expected threat; calculated only when passes_completed and dribbles are available,1.64
vaep_rating,float64,9681,100.0,Processed player-match proxy for net action value; calculated only when passes_completed dribbles tackles_won interceptions and fouls_committed are available,34.0
expected_assists,float64,0,0.0,Processed player-match proxy equal to passes_attempted times pass_accuracy times 0.1,3.400014
progressive_pass_dist,float64,9681,100.0,Processed player-match proxy equal to distance_covered times pass completion ratio; NULL when distance_covered is missing,250.0
defensive_action_height,float64,9681,100.0,Processed player-match proxy equal to defensive actions divided by distance_covered; NULL when distance_covered or clearances are missing,0.45
pressing_intensity,float64,2706,27.9517,Processed player-match PPDA-inspired proxy equal to opponent possession rate divided by defensive actions,0.062978
acwr_index,float64,9681,100.0,Processed player-match workload ratio; NULL when match distance and season distance are unavailable,1.08
metabolic_power,float64,9681,100.0,Processed player-match metabolic power proxy; NULL when top_speed or distance_covered are missing,4.2
foul_severity_index,float64,0,0.0,Processed player-match disciplinary severity index equal to fouls_committed plus 3 yellow_cards plus 6 red_cards,4.0
possession_involvement,float64,9681,100.0,Processed player-match possession-normalized involvement proxy; NULL when dribbles or possession inputs are missing,0.75
xg_probability,float64,3506,100.0,Processed goal-event xG probability placeholder; NULL until a calibrated shot-level xG model and shot population are available,0.12
shot_quality_index,float64,3506,100.0,Processed goal-event goals divided by xg_probability; NULL while xg_probability is unavailable,8.33
