season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2010-2011,Octavos,Ida,15-02-2011,20:45,22:45,Valencia,Schalke 04,1-1,2-4,Mestalla,Valencia,España,Aleksei Nikolaev,Tikhon Kalugin; Anton Averianov,Unai Emery,Felix Magath,"Valencia: Guaita; D. Navarro, Ricardo Costa, Mathieu, Miguel; Mehmet Topal, Banega, Domínguez; Aritz Aduriz, Soldado, Costa | Schalke 04: Neuer; Höwedes, Metzelder, Matip, Uchida; Kluge, Jurado; Farfán, Raúl González, Schmitz; Huntelaar",NULL,24,15,9,11,6,5,Soldado 17'; Raul 64',NULL,68' Joaquín x Domínguez; 68' Vicente x Banega; 78' Jordi Alba x Mathieu; 78' Draxler x Farfán; 83' Edu x Jurado; 90' Junmin x Huntelaar,Matip 16'; Ricardo Costa 62'; Schmitz 65'; Neuer 78'; Jurado 80'; Schmitz 90'+3,Schmitz,65%,35%,30,9,21,12,5,7
2010-2011,Octavos,Vuelta,09-03-2011,NULL,NULL,Schalke 04,Valencia,3-1,4-2,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Felix Magath,Unai Emery,NULL,NULL,25,13,12,10,6,4,NULL,NULL,NULL,NULL,NULL,41%,59%,36,16,20,12,7,5
2010-2011,Octavos,Ida,16-02-2011,NULL,NULL,AC Milan,Tottenham,0-1,0-1,San Siro,Milan,Italia,NULL,NULL,Massimiliano Allegri,Harry Redknapp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crouch 80',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,09-03-2011,NULL,NULL,Tottenham,AC Milan,0-0,1-0,White Hart Lane,Londres,Inglaterra,NULL,NULL,Harry Redknapp,Massimiliano Allegri,NULL,NULL,24,8,16,5,1,4,NULL,NULL,NULL,NULL,NULL,38%,62%,33,16,17,9,4,5
2010-2011,Octavos,Ida,15-02-2011,NULL,NULL,Arsenal,Barcelona,2-1,3-4,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Pep Guardiola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Van Persie 78'; Arshavin 83'; Villa 26',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,08-03-2011,NULL,NULL,Barcelona,Arsenal,3-1,4-3,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Arsene Wenger,NULL,NULL,20,20,0,12,12,0,NULL,NULL,NULL,NULL,NULL,76%,24%,27,8,19,7,5,2
2010-2011,Octavos,Ida,16-02-2011,NULL,NULL,Roma,Shakhtar,2-3,2-6,Olimpico,Roma,Italia,NULL,NULL,Claudio Ranieri,Mircea Lucescu,NULL,NULL,34,22,12,8,3,5,NULL,NULL,NULL,NULL,NULL,59%,41%,39,17,22,16,11,5
2010-2011,Octavos,Vuelta,08-03-2011,NULL,NULL,Shakhtar,Roma,3-0,6-2,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Claudio Ranieri,NULL,NULL,22,10,12,8,5,3,NULL,NULL,NULL,NULL,NULL,54%,46%,32,18,14,11,7,4
2010-2011,Octavos,Ida,22-02-2011,NULL,NULL,Inter,Bayern Munich,0-1,3-3,San Siro,Milan,Italia,NULL,NULL,Leonardo,Louis van Gaal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gomez 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,15-03-2011,NULL,NULL,Bayern Munich,Inter,2-3,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,Louis van Gaal,Leonardo,NULL,NULL,32,17,15,11,8,3,NULL,NULL,NULL,NULL,NULL,47%,53%,36,17,19,10,7,3
2010-2011,Octavos,Ida,23-02-2011,NULL,NULL,Marseille,Manchester United,0-0,1-2,Velodrome,Marseille,Francia,NULL,NULL,Didier Deschamps,Alex Ferguson,NULL,NULL,20,12,8,4,2,2,NULL,NULL,NULL,NULL,NULL,48%,52%,23,9,14,7,5,2
2010-2011,Octavos,Vuelta,15-03-2011,NULL,NULL,Manchester United,Marseille,2-1,2-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Didier Deschamps,NULL,NULL,20,9,11,10,7,3,NULL,NULL,NULL,NULL,NULL,54%,46%,27,12,15,12,6,6
2010-2011,Octavos,Ida,22-02-2011,NULL,NULL,Copenhagen,Chelsea,0-2,0-2,Parken Stadium,Copenhague,Dinamarca,NULL,NULL,Stale Solbakken,Carlo Ancelotti,NULL,NULL,37,15,22,12,5,7,NULL,NULL,NULL,NULL,NULL,55%,45%,22,13,9,4,1,3
2010-2011,Octavos,Vuelta,16-03-2011,NULL,NULL,Chelsea,Copenhagen,0-0,2-0,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Carlo Ancelotti,Stale Solbakken,NULL,NULL,37,29,8,9,7,2,NULL,NULL,NULL,NULL,NULL,46%,54%,29,15,14,14,11,3
