match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
m_0,2010-2011,15-02-2011,bddfcdfa742c,09231e49e8f9,Mestalla,Valencia,España,Aleksei Nikolaev,1,1,0.65,0.35
m_1,2010-2011,09-03-2011,09231e49e8f9,bddfcdfa742c,Veltins-Arena,Gelsenkirchen,Alemania,Jonas Eriksson,3,1,0.41,0.59
m_2,2010-2011,16-02-2011,088d5f86b6f2,6edafb11d82f,San Siro,Milan,Italia,Stephane Lannoy,0,1,0.56,0.44
m_3,2010-2011,09-03-2011,6edafb11d82f,088d5f86b6f2,White Hart Lane,Londres,Inglaterra,Frank De Bleeckere,0,0,0.38,0.62
m_4,2010-2011,15-02-2011,4fc9baf21034,550d05ab240e,Emirates Stadium,Londres,Inglaterra,S Rizzoli,2,1,0.34,0.66
m_5,2010-2011,08-03-2011,550d05ab240e,4fc9baf21034,Camp Nou,Barcelona,España,Massimo Busacca,3,1,0.76,0.24
m_6,2010-2011,16-02-2011,e82fd46b0550,0fe76b7fe2ce,Olimpico,Roma,Italia,Olegário Benquerença,2,3,0.59,0.41
m_7,2010-2011,08-03-2011,0fe76b7fe2ce,e82fd46b0550,Donbass Arena,Donetsk,Ucrania,Howard Webb,3,0,0.54,0.46
m_8,2010-2011,22-02-2011,db41658ae019,240dd2121e44,San Siro,Milan,Italia,Viktor Kassai,0,1,0.46,0.54
m_9,2010-2011,15-03-2011,240dd2121e44,db41658ae019,Allianz Arena,Munich,Alemania,Pedro Proença,2,3,0.47,0.53
m_10,2010-2011,23-02-2011,8377de0f1845,9ff48521032a,Velodrome,Marseille,Francia,Felix Brych,0,0,0.48,0.52
m_11,2010-2011,15-03-2011,9ff48521032a,8377de0f1845,Old Trafford,Manchester,Inglaterra,Carlos Velasco Carballo,2,1,0.54,0.46
m_12,2010-2011,22-02-2011,2da3c827ccab,8056df088208,Parken Stadium,Copenhague,Dinamarca,Björn Kuipers,0,2,0.45,0.55
m_13,2010-2011,16-03-2011,8056df088208,2da3c827ccab,Stamford Bridge,Londres,Inglaterra,Svein Oddvar Moen,0,0,0.46,0.54
m_14,2010-2011,23-02-2011,debecab907cc,93330b415214,Stade Gerland,Lyon,Francia,Wolfgang Stark,1,1,0.41,0.59
m_15,2010-2011,16-03-2011,93330b415214,debecab907cc,Santiago Bernabeu,Madrid,España,Damir Skomina,3,0,0.55,0.45
m_16,2010-2011,05-04-2011,93330b415214,6edafb11d82f,Santiago Bernabeu,Madrid,España,Felix Brych,4,0,0.72,0.28
m_17,2010-2011,13-04-2011,6edafb11d82f,93330b415214,White Hart Lane,Londres,Inglaterra,Nicola Rizzoli,0,1,0.44,0.56
m_18,2010-2011,05-04-2011,db41658ae019,09231e49e8f9,San Siro,Milan,Italia,Martin Atkinson,2,5,0.53,0.47
m_19,2010-2011,13-04-2011,09231e49e8f9,db41658ae019,Veltins-Arena,Gelsenkirchen,Alemania,Damir Skomina,2,1,0.37,0.63
m_20,2010-2011,06-04-2011,550d05ab240e,0fe76b7fe2ce,Camp Nou,Barcelona,España,Craig Thomson,5,1,0.7,0.3
m_21,2010-2011,12-04-2011,0fe76b7fe2ce,550d05ab240e,Donbass Arena,Donetsk,Ucrania,Florian Meyer,0,1,0.33,0.67
m_22,2010-2011,06-04-2011,8056df088208,9ff48521032a,Stamford Bridge,Londres,Inglaterra,Undiano Mallenco,0,1,0.57,0.43
m_23,2010-2011,12-04-2011,9ff48521032a,8056df088208,Old Trafford,Manchester,Inglaterra,Olegario Bartolo Benquerenca,2,1,0.55,0.45
m_24,2010-2011,26-04-2011,93330b415214,550d05ab240e,Santiago Bernabeu,Madrid,España,Wolfgang Stark,0,2,0.24,0.76
m_25,2010-2011,03-05-2011,550d05ab240e,93330b415214,Camp Nou,Barcelona,España,Frank De Bleeckere,1,1,0.69,0.31
m_26,2010-2011,26-04-2011,09231e49e8f9,9ff48521032a,Veltins-Arena,Gelsenkirchen,Alemania,Carlos Velasco Carballo,0,2,0.33,0.67
m_27,2010-2011,04-05-2011,9ff48521032a,09231e49e8f9,Old Trafford,Manchester,Inglaterra,Pedro Proenca,4,1,0.46,0.54
m_28,2010-2011,28-05-2011,550d05ab240e,9ff48521032a,Wembley,Londres,Inglaterra,Viktor Kassai,3,1,0.68,0.32
