match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
match_a499908675a8,2010-2011,15-02-2011,team_e45c3160715a,team_b72cd3ffa1d1,Mestalla,Valencia,España,Aleksei Nikolaev,1,1,0.65,0.35
match_0b760b98a90b,2010-2011,09-03-2011,team_b72cd3ffa1d1,team_e45c3160715a,Veltins-Arena,Gelsenkirchen,Alemania,Jonas Eriksson,3,1,0.41,0.59
match_b7323ecf25d5,2010-2011,16-02-2011,team_3ce98d8f2aba,team_5e0fb1614a5f,San Siro,Milan,Italia,Stephane Lannoy,0,1,0.56,0.44
match_3e112e981a6e,2010-2011,09-03-2011,team_5e0fb1614a5f,team_3ce98d8f2aba,White Hart Lane,Londres,Inglaterra,Frank De Bleeckere,0,0,0.38,0.62
match_e705e422fc19,2010-2011,15-02-2011,team_1c5442c0461e,team_dea56e47f1c6,Emirates Stadium,Londres,Inglaterra,S Rizzoli,2,1,0.34,0.66
match_8b51bd91067f,2010-2011,08-03-2011,team_dea56e47f1c6,team_1c5442c0461e,Camp Nou,Barcelona,España,Massimo Busacca,3,1,0.76,0.24
match_7fe3038b407a,2010-2011,16-02-2011,team_2e92d188dbdb,team_c8257652cf16,Olimpico,Roma,Italia,Olegário Benquerença,2,3,0.59,0.41
match_c91d76eeb735,2010-2011,08-03-2011,team_c8257652cf16,team_2e92d188dbdb,Donbass Arena,Donetsk,Ucrania,Howard Webb,3,0,0.54,0.46
match_0b42f276b86b,2010-2011,22-02-2011,team_7ec8336709bf,team_005131c0e2cb,San Siro,Milan,Italia,Viktor Kassai,0,1,0.46,0.54
match_425e6289c682,2010-2011,15-03-2011,team_005131c0e2cb,team_7ec8336709bf,Allianz Arena,Munich,Alemania,Pedro Proença,2,3,0.47,0.53
match_e2973c72c39c,2010-2011,23-02-2011,team_6a5b4d7eaece,team_2cd2088171b7,Velodrome,Marseille,Francia,Felix Brych,0,0,0.48,0.52
match_9def956de11e,2010-2011,15-03-2011,team_2cd2088171b7,team_6a5b4d7eaece,Old Trafford,Manchester,Inglaterra,Carlos Velasco Carballo,2,1,0.54,0.46
match_f8f0b708892f,2010-2011,22-02-2011,team_12fff1be2f11,team_91cb315a6405,Parken Stadium,Copenhague,Dinamarca,Björn Kuipers,0,2,0.45,0.55
match_abca9479587a,2010-2011,16-03-2011,team_91cb315a6405,team_12fff1be2f11,Stamford Bridge,Londres,Inglaterra,Svein Oddvar Moen,0,0,0.46,0.54
match_7a526ab6796a,2010-2011,23-02-2011,team_10b53d95e2d3,team_bd172eeb9d96,Stade Gerland,Lyon,Francia,Wolfgang Stark,1,1,0.41,0.59
match_1a0d93bada8e,2010-2011,16-03-2011,team_bd172eeb9d96,team_10b53d95e2d3,Santiago Bernabeu,Madrid,España,Damir Skomina,3,0,0.55,0.45
match_0dfe97163898,2010-2011,05-04-2011,team_bd172eeb9d96,team_5e0fb1614a5f,Santiago Bernabeu,Madrid,España,Felix Brych,4,0,0.72,0.28
match_c3df55426c45,2010-2011,13-04-2011,team_5e0fb1614a5f,team_bd172eeb9d96,White Hart Lane,Londres,Inglaterra,Nicola Rizzoli,0,1,0.44,0.56
match_8eae3c5c1b00,2010-2011,05-04-2011,team_7ec8336709bf,team_b72cd3ffa1d1,San Siro,Milan,Italia,Martin Atkinson,2,5,0.53,0.47
match_0626988f0f38,2010-2011,13-04-2011,team_b72cd3ffa1d1,team_7ec8336709bf,Veltins-Arena,Gelsenkirchen,Alemania,Damir Skomina,2,1,0.37,0.63
match_c7114540924d,2010-2011,06-04-2011,team_dea56e47f1c6,team_c8257652cf16,Camp Nou,Barcelona,España,Craig Thomson,5,1,0.7,0.3
match_247be1e49544,2010-2011,12-04-2011,team_c8257652cf16,team_dea56e47f1c6,Donbass Arena,Donetsk,Ucrania,Florian Meyer,0,1,0.33,0.67
match_fa40ac436f93,2010-2011,06-04-2011,team_91cb315a6405,team_2cd2088171b7,Stamford Bridge,Londres,Inglaterra,Undiano Mallenco,0,1,0.57,0.43
match_b8a3b12e09a5,2010-2011,12-04-2011,team_2cd2088171b7,team_91cb315a6405,Old Trafford,Manchester,Inglaterra,Olegario Bartolo Benquerenca,2,1,0.55,0.45
match_ae297a142d11,2010-2011,26-04-2011,team_bd172eeb9d96,team_dea56e47f1c6,Santiago Bernabeu,Madrid,España,Wolfgang Stark,0,2,0.24,0.76
match_90e85c0159a9,2010-2011,03-05-2011,team_dea56e47f1c6,team_bd172eeb9d96,Camp Nou,Barcelona,España,Frank De Bleeckere,1,1,0.69,0.31
match_cf68a5571ab6,2010-2011,26-04-2011,team_b72cd3ffa1d1,team_2cd2088171b7,Veltins-Arena,Gelsenkirchen,Alemania,Carlos Velasco Carballo,0,2,0.33,0.67
match_ce20c91147c9,2010-2011,04-05-2011,team_2cd2088171b7,team_b72cd3ffa1d1,Old Trafford,Manchester,Inglaterra,Pedro Proenca,4,1,0.46,0.54
match_9eb4a61c2cbd,2010-2011,28-05-2011,team_dea56e47f1c6,team_2cd2088171b7,Wembley,Londres,Inglaterra,Viktor Kassai,3,1,0.68,0.32
match_5485eb717091,2011-2012,14-02-2012,team_099f7fbab1ee,team_dea56e47f1c6,BayArena,Leverkusen,Alemania,Craig Thomson,1,3,0.25,0.75
match_8b27383eac2c,2011-2012,07-03-2012,team_dea56e47f1c6,team_099f7fbab1ee,Camp Nou,Barcelona,España,Svein Oddvar Moen,7,1,0.77,0.23
match_493fd26cd733,2011-2012,15-02-2012,team_3ce98d8f2aba,team_1c5442c0461e,San Siro,Milán,Italia,Viktor Kassai,4,0,0.43,0.57
match_d4c8b4147988,2011-2012,06-03-2012,team_1c5442c0461e,team_3ce98d8f2aba,Emirates Stadium,Londres,Inglaterra,Damir Skomina,3,0,0.45,0.55
match_c5d401f5308c,2011-2012,14-02-2012,team_10b53d95e2d3,team_a617f924ca75,Stade Gerland,Lyon,Francia,Paolo Tagliavento,1,0,0.64,0.36
match_6c47f86a9ba3,2011-2012,07-03-2012,team_a617f924ca75,team_10b53d95e2d3,GSP Stadium,Nicosia,Chipre,Alberto Undiano Mallenco,1,0,0.46,0.54
match_ec307d46d8ee,2011-2012,15-02-2012,team_d1a8e0ed2ef9,team_41d823ab960e,Petrovsky Stadium,San Petersburgo,Rusia,Jonas Eriksson,3,2,0.54,0.46
match_4422a21ca252,2011-2012,06-03-2012,team_41d823ab960e,team_d1a8e0ed2ef9,Estadio da Luz,Lisboa,Portugal,Howard Webb,2,0,0.43,0.57
match_0c44742b6ab5,2011-2012,21-02-2012,team_6e1e0ff9b9b5,team_bd172eeb9d96,Luzhniki Stadium,Moscú,Rusia,Björn Kuipers,1,1,0.46,0.54
match_36f0265b6c21,2011-2012,14-03-2012,team_bd172eeb9d96,team_6e1e0ff9b9b5,Santiago Bernabeu,Madrid,España,Stéphane Lannoy,4,1,0.63,0.37
match_84ab7656c681,2011-2012,21-02-2012,team_81bd8fe38f89,team_91cb315a6405,Stadio San Paolo,Napoles,Italia,Carlos Velasco Carballo,3,1,0.42,0.58
match_c8eba28b6ae1,2011-2012,14-03-2012,team_91cb315a6405,team_81bd8fe38f89,Stamford Bridge,Londres,Inglaterra,Felix Brych,4,1,0.56,0.44
match_72d78720ca4c,2011-2012,22-02-2012,team_6a5b4d7eaece,team_7ec8336709bf,Stade Velodrome,Marseille,Francia,Cüneyt Çakır,1,0,0.59,0.41
match_83cf409345a8,2011-2012,13-03-2012,team_7ec8336709bf,team_6a5b4d7eaece,San Siro,Milán,Italia,Pedro Proença,2,1,0.48,0.52
match_41f1127d8fba,2011-2012,22-02-2012,team_7aaf6c53e9fe,team_005131c0e2cb,St. Jakob-Park,Basilea,Suiza,Nicola Rizzoli,1,0,0.39,0.61
match_de7f0a4540f3,2011-2012,13-03-2012,team_005131c0e2cb,team_7aaf6c53e9fe,Allianz Arena,Munich,Alemania,Mark Clattenburg,7,0,NULL,NULL
match_186f6225b816,2011-2012,27-03-2012,team_a617f924ca75,team_bd172eeb9d96,GSP Stadium,Nicosia,Chipre,Felix Brych,0,3,0.22,0.78
match_84cab05cff63,2011-2012,04-04-2012,team_bd172eeb9d96,team_a617f924ca75,Santiago Bernabeu,Madrid,España,Gianluca Rocchi,5,2,0.7,0.3
match_e0bc27f50a6a,2011-2012,27-03-2012,team_41d823ab960e,team_91cb315a6405,Estadio da Luz,Lisboa,Portugal,Paolo Tagliavento,0,1,0.56,0.44
match_c6165e37586f,2011-2012,04-04-2012,team_91cb315a6405,team_41d823ab960e,Stamford Bridge,Londres,Inglaterra,Damir Skomina,2,1,0.49,0.51
match_2b2789439936,2011-2012,28-03-2012,team_3ce98d8f2aba,team_dea56e47f1c6,San Siro,Milán,Italia,Jonas Eriksson,0,0,0.35,0.65
match_e760890cced7,2011-2012,03-04-2012,team_dea56e47f1c6,team_3ce98d8f2aba,Camp Nou,Barcelona,España,Björn Kuipers,3,1,0.62,0.38
match_d696259631a5,2011-2012,28-03-2012,team_6a5b4d7eaece,team_005131c0e2cb,Stade Velodrome,Marseille,Francia,Carlos Velasco Carballo,0,2,0.42,0.58
match_72b1875df9b5,2011-2012,03-04-2012,team_005131c0e2cb,team_6a5b4d7eaece,Allianz Arena,Munich,Alemania,Svein Oddvar Moen,2,0,0.5,0.5
match_d2406e479bdd,2011-2012,17-04-2012,team_005131c0e2cb,team_bd172eeb9d96,Allianz Arena,Munich,Alemania,Howard Webb,2,1,0.55,0.45
match_ea17c8990035,2011-2012,25-04-2012,team_bd172eeb9d96,team_005131c0e2cb,Santiago Bernabeu,Madrid,España,Viktor Kassai,2,1,0.45,0.55
match_da9005dfa133,2011-2012,18-04-2012,team_91cb315a6405,team_dea56e47f1c6,Stamford Bridge,Londres,Inglaterra,Felix Brych,1,0,0.21,0.79
match_f870501ae64c,2011-2012,24-04-2012,team_dea56e47f1c6,team_91cb315a6405,Camp Nou,Barcelona,España,Cüneyt Çakır,2,2,0.82,0.18
match_91dc2177c4cf,2011-2012,19-05-2012,team_005131c0e2cb,team_91cb315a6405,Allianz Arena,Munich,Alemania,Pedro Proença,1,1,0.56,0.44
match_5f0df6f5dc8e,2012-2013,12-02-2013,team_1d01384154bc,team_b89dc80fb627,Celtic Park,Glasgow,Escocia,Alberto Undiano Mallenco,0,3,0.53,0.47
match_65ca2b455604,2012-2013,06-03-2013,team_b89dc80fb627,team_1d01384154bc,Juventus Stadium,Turin,Italia,Fırat Aydınus,2,0,0.44,0.56
match_2c3132ad3f5f,2012-2013,12-02-2013,team_e45c3160715a,team_268fb4595b07,Mestalla,Valencia,España,Paolo Tagliavento,1,2,0.66,0.34
