team_id,team_name,country,logo
bddfcdfa742c,Valencia,España,
09231e49e8f9,Schalke 04,Alemania,
088d5f86b6f2,AC Milan,Italia,
6edafb11d82f,Tottenham,Inglaterra,
4fc9baf21034,Arsenal,Inglaterra,
550d05ab240e,Barcelona,España,
e82fd46b0550,Roma,Italia,
0fe76b7fe2ce,Shakhtar,Ucrania,
db41658ae019,Inter,Italia,
240dd2121e44,Bayern Munich,Alemania,
8377de0f1845,Marseille,Francia,
9ff48521032a,Manchester United,Inglaterra,
2da3c827ccab,Copenhagen,Dinamarca,
8056df088208,Chelsea,Inglaterra,
debecab907cc,Lyon,Francia,
93330b415214,Real Madrid,España,
e1e2b54b5c32,Bayer Leverkusen,Alemania,
780e35ea5cda,APOEL,Chipre,
479bf0803cf7,Zenit,Rusia,
e4bbc3bef62e,Benfica,Portugal,
8d7f8b2497f7,CSKA Moscow,Rusia,
c600c031a1ea,Napoli,Italia,
aea93afdf4be,Basel,Suiza,
84f918364fcc,Celtic,Escocia,
fdb4b66db097,Juventus,Italia,
bdec8a408440,PSG,Francia,
9457f1ba26ee,Borussia Dortmund,Alemania,
8493f398f200,Porto,Portugal,
c555476e6381,Malaga,España,
bd35d091e000,Galatasaray,Turquia,
ebf2d2f5d61d,Manchester City,Inglaterra,
216584413ea9,Atletico Madrid,España,
d95852bfc168,Olympiacos,Grecia,
d6a297c6193f,Monaco,Monaco,
ea7d100031c0,PSV,Países Bajos,
9608110853ee,Dynamo Kyiv,Ucrania,
bc1f8a8dc753,Gent,Bélgica,
27df84194517,Wolfsburg,Alemania,
b2118d2ca017,Sevilla,España,
684362f02c12,Leicester City,Inglaterra,
afce84ff2264,Liverpool,Inglaterra,
97518921fea5,Besiktas,Turquia,
3eb7106c3477,Ajax,Paises Bajos,
91a12d209484,RB Leipzig,Alemania,
e341c0b20802,Atalanta,Italia,
84d0447bddc0,Lazio,Italia,
900d891b5d20,Borussia Monchengladbach,Hungria,
49a73cc8acd2,Sporting CP,Portugal,
ea6515eca27a,Salzburg,Austria,
c56e94a98504,Lille,Francia,
27ac674b21d2,Villarreal,España,
1775173b4ba8,Club Brugge,Belgica,
48199c3e87ac,Eintracht Frankfurt,Alemania,
782246eac004,Real Sociedad,España,
ed501eaf91a9,Stade Brestois,Francia,
cdae7c289430,Feyenoord,Países Bajos,
d2c242b776f7,AS Monaco,Mónaco,
f711ec7a2ed3,PSV Eindhoven,Países Bajos,
95adec7330c0,S.L. Benfica,Portugal,
6096c6fc3b0f,FC Barcelona,España,
8c5830f24228,Inter Milan,Italia,
bbb5244b71d6,LOSC Lille,Francia,
568cd44a200f,Aston Villa,Inglaterra,
f53424f05135,Atlético Madrid,España,
