column,dtype,missing,missing_%,description,example
season,object,0,0.0,Season of the competition,2010-2011
fase,object,0,0.0,Competition phase,Octavos
instancia,object,0,0.0,Match round,Ida
fecha,datetime64[ns],0,0.0,Match date,2011-02-15 00:00:00
local,object,0,0.0,Home team,Valencia
visitante,object,0,0.0,Away team,Schalke 04
marcador,object,0,0.0,Match score,1-1
global,object,36,8.09,Aggregate score in knockout rounds,2-4
estadio,object,0,0.0,Stadium name,Mestalla
ciudad,object,0,0.0,City,Valencia
pais,object,0,0.0,Country,España
entrenador_local,object,29,6.52,Home coach,Unai Emery
entrenador_visitante,object,29,6.52,Away coach,Felix Magath
tiros_totales,float64,44,9.89,,24.0
tiros_totales_local,float64,44,9.89,,15.0
tiros_totales_visitante,float64,44,9.89,,9.0
tiros_puerta,float64,44,9.89,,11.0
tiros_puerta_local,float64,44,9.89,,6.0
tiros_puerta_visitante,float64,44,9.89,,5.0
posesion_local,object,43,9.66,,65%
posesion_visitante,object,43,9.66,,35%
faltas_total,float64,40,8.99,,30.0
faltas_local,float64,43,9.66,,9.0
faltas_visitante,float64,43,9.66,,21.0
corners_total,float64,40,8.99,,12.0
corners_local,float64,43,9.66,,5.0
corners_visitante,float64,43,9.66,,7.0
home_goals,int64,0,0.0,Goals scored by home team,1
away_goals,int64,0,0.0,Goals scored by away team,1
