goal_id,match_id,minute,goal_type,player_id,assist_player_id,event_type,player_name,is_penalty,is_own_goal
g_m_0_0,m_0,17,regular,0cda03eeec83,29bb187c52af,goal,Soldado,False,False
g_m_1_1,m_1,52,regular,b22d2cc4648e,,goal,Mario Gavranovic,False,False
g_m_1_3,m_1,17,regular,17761e95c8af,,goal,Roberto Soldado,False,False
g_m_2_0,m_2,80,regular,5b921a497e6f,,goal,Peter Crouch,False,False
g_m_4_0,m_4,78,regular,3da0c91fb86e,,goal,Robin van Persie,False,False
g_m_4_1,m_4,83,regular,e11bf4e8e4ac,,goal,Andrey Arshavin,False,False
g_m_4_2,m_4,26,regular,19f9541f95a1,,goal,David Villa,False,False
g_m_5_0,m_5,45,regular,7f5dfc9f5bc6,,goal,Lionel Messi,False,False
g_m_5_1,m_5,69,regular,4be9505dcf6a,,goal,Xavi,False,False
g_m_5_2,m_5,71,regular,7f5dfc9f5bc6,,goal,Lionel Messi,False,False
g_m_5_3,m_5,53,own_goal,d0c9a7e4d445,,goal,Sergio Busquets,False,True
g_m_6_0,m_6,28,regular,5c7a2ed20378,,goal,Simone Perrotta,False,False
g_m_6_2,m_6,29,regular,b91e289e985a,,goal,Jadson,False,False
g_m_6_3,m_6,36,regular,2347f1d32f76,,goal,Douglas Costa,False,False
g_m_6_4,m_6,41,regular,68b19cf35916,,goal,Luiz Adriano,False,False
g_m_7_1,m_7,58,regular,6c4ee85ff749,bfabf4655160,goal,Willian,False,False
g_m_7_2,m_7,87,regular,6d6354ece408,bfabf4655160,goal,Eduardo,False,False
g_m_9_2,m_9,4,regular,63a99718d8fd,,goal,Samuel Eto'o,False,False
g_m_9_3,m_9,63,regular,dd801e8fac0a,,goal,Wesley Sneijder,False,False
g_m_9_4,m_9,88,regular,f9610f51580e,,goal,Goran Pandev,False,False
g_m_11_2,m_11,82,own_goal,38c73feed0a7,,goal,Wes Brown,False,True
g_m_12_0,m_12,17,regular,f982e12e44e3,,goal,Nicolas Anelka,False,False
g_m_12_1,m_12,54,regular,f982e12e44e3,,goal,Nicolas Anelka,False,False
g_m_14_0,m_14,47,regular,1e74b597586b,,goal,Bafetimbi Gomis,False,False
g_m_14_1,m_14,65,regular,1eb74ea51664,,goal,Karim Benzema,False,False
g_m_15_0,m_15,37,regular,995bf053c469,,goal,Marcelo,False,False
g_m_15_1,m_15,66,regular,1eb74ea51664,,goal,Karim Benzema,False,False
g_m_15_2,m_15,76,regular,085fb58ad74e,,goal,Ángel Di María,False,False
g_m_16_0,m_16,4,regular,394f68f84b5c,,goal,Emmanuel Adebayor,False,False
g_m_16_1,m_16,57,regular,394f68f84b5c,,goal,Emmanuel Adebayor,False,False
g_m_16_2,m_16,72,regular,085fb58ad74e,,goal,Ángel Di María,False,False
g_m_16_3,m_16,87,regular,99385a1844d3,,goal,Cristiano Ronaldo,False,False
g_m_17_0,m_17,50,regular,99385a1844d3,,goal,Cristiano Ronaldo,False,False
g_m_18_0,m_18,1,regular,a7ca73085bc8,54b271d5029b,goal,Dejan Stankovic,False,False
g_m_18_1,m_18,34,regular,ff19839aa35d,54b271d5029b,goal,Diego Milito,False,False
