player_id,season,saves,goals_conceded,clean_sheets,penalty_saves,punches
player_c6eebb451f6f,2021-2022,61,14,5,1,4
player_36fd83ee5791,2021-2022,41,16,3,0,12
player_86492dee1e6f,2021-2022,38,17,5,1,5
player_c20411752f34,2021-2022,29,8,1,0,2
player_d7796b426771,2021-2022,28,20,0,0,1
player_f9e6c206e685,2021-2022,26,10,3,0,2
player_780e05d22aa1,2021-2022,21,13,1,0,1
player_1597cbbcbce5,2021-2022,20,17,0,0,0
player_3dc8b54e9504,2021-2022,19,9,1,0,0
player_ae749284d13f,2021-2022,19,8,0,1,3
player_705dd27cd1bd,2021-2022,18,11,2,0,2
player_eff768079d11,2021-2022,18,9,0,0,0
player_45b3aad9d77e,2021-2022,18,8,1,0,2
player_bc120503eea2,2021-2022,18,6,2,1,9
player_424e67293a47,2021-2022,17,13,2,0,8
player_a248d357f4d7,2021-2022,16,14,1,0,3
player_46a5916b7332,2021-2022,16,9,3,0,2
player_783eaeb24b49,2021-2022,15,14,4,0,3
player_c39471220d1b,2021-2022,14,14,4,0,1
player_03bc3384bc6e,2021-2022,14,11,2,1,1
player_9d52e31c81f7,2021-2022,14,10,3,0,3
player_9f85c8f2f3af,2021-2022,14,7,0,1,1
player_5b0c6b0eeeda,2021-2022,14,6,4,0,1
player_ce076e8d8d1a,2021-2022,14,5,2,0,1
player_78438dd618b4,2021-2022,13,11,0,0,4
player_0823999b8498,2021-2022,13,6,2,0,2
player_89a37127a9fb,2021-2022,13,6,0,0,1
player_325f7e86ec8b,2021-2022,13,4,3,0,1
player_b02407ed84a3,2021-2022,12,7,3,0,5
player_d86830950f8c,2021-2022,12,6,1,0,10
player_0cdbe862d77e,2021-2022,12,6,0,0,1
player_f818b64794aa,2021-2022,11,14,0,0,0
player_b6455687e84d,2021-2022,11,5,0,0,3
player_8bd45e8a3c29,2021-2022,9,7,5,0,2
player_d8bc6bebff9d,2021-2022,9,6,0,0,1
player_0880589766cd,2021-2022,8,2,1,0,2
player_5ca8a21b2386,2021-2022,6,3,0,0,1
player_2a0f96f63149,2021-2022,5,4,0,0,0
player_84b0e5e5e3b2,2021-2022,5,2,2,0,4
player_68412608a5c7,2021-2022,5,2,0,0,0
player_de6de787509c,2021-2022,4,4,0,0,0
player_3080e56fd055,2021-2022,4,3,0,0,0
player_bc742871cfe9,2021-2022,4,2,0,0,0
player_6e176fc936ce,2021-2022,4,1,0,0,2
player_4078e15fa803,2021-2022,4,0,1,0,2
player_181cf92c4867,2021-2022,3,4,0,0,0
player_cf9e7ac87e8a,2021-2022,3,2,0,0,1
player_853550e6a1e8,2021-2022,3,1,0,0,1
