player_id,season,matches_played,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,tackles,interceptions,fouls_committed,yellow_cards,red_cards
player_c6eebb451f6f,2021-2022,13,1230,0,0,NULL,NULL,365,483,NULL,NULL,NULL,NULL,NULL
player_e95bd0683a03,2021-2022,13,1199,4,6,27,8,377,451,11,29,13,0,1
player_a00de8bd0f12,2021-2022,12,1106,15,1,45,23,433,523,1,6,2,0,1
player_b4d55b8e401d,2021-2022,13,1077,0,4,14,5,723,799,9,39,3,0,1
player_27da4c159ef6,2021-2022,12,1076,0,0,9,4,563,643,19,76,17,0,4
player_c8b23cc3438d,2021-2022,12,1040,1,0,5,1,606,657,18,49,9,0,1
player_5182eba2b679,2021-2022,11,959,0,1,5,2,503,576,12,50,15,0,3
player_dd5735717a3e,2021-2022,11,914,0,0,10,2,482,538,31,76,17,0,3
player_2fe8b83d60b5,2021-2022,12,902,2,0,12,7,752,814,11,37,7,0,0
player_8bd45e8a3c29,2021-2022,10,867,0,2,2,0,376,413,6,36,7,0,3
player_ee5683eff03b,2021-2022,11,804,0,1,9,0,336,395,13,29,4,0,2
player_b623e24add2f,2021-2022,9,574,0,0,1,0,283,304,10,27,7,0,2
player_2ff5e674cf5b,2021-2022,11,505,5,2,23,10,183,209,2,14,5,0,1
player_0dbc9627189d,2021-2022,8,349,0,1,NULL,NULL,207,239,2,13,4,0,1
player_1e08111a3656,2021-2022,10,296,0,1,2,0,158,179,17,19,5,0,1
player_1b91f6b83e9e,2021-2022,8,207,1,2,5,3,75,89,1,3,2,0,0
player_de80c271792f,2021-2022,3,113,0,0,4,1,36,40,0,1,1,0,1
player_995bf053c469,2021-2022,3,93,0,0,2,0,55,63,0,4,1,0,0
player_eef51dfd72c3,2021-2022,3,84,0,0,3,3,NULL,NULL,0,1,1,0,0
player_79610093ff58,2021-2022,1,66,0,0,1,0,NULL,NULL,1,1,NULL,NULL,NULL
player_e1855ba4ffe9,2021-2022,5,37,0,0,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL
player_dc51175418c2,2021-2022,1,12,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
player_e185c8bcb757,2021-2022,2,8,0,0,NULL,NULL,NULL,NULL,0,2,NULL,NULL,NULL
