season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2010-2011,Octavos,Ida,15-02-2011,20:45,22:45,Valencia,Schalke 04,1-1,2-4,Mestalla,Valencia,España,Aleksei Nikolaev,Tikhon Kalugin; Anton Averianov,Unai Emery,Felix Magath,"Valencia: Guaita; D. Navarro, Ricardo Costa, Mathieu, Miguel; Mehmet Topal, Banega, Domínguez; Aritz Aduriz, Soldado, Costa | Schalke 04: Neuer; Höwedes, Metzelder, Matip, Uchida; Kluge, Jurado; Farfán, Raúl González, Schmitz; Huntelaar",NULL,24,15,9,11,6,5,Soldado 17'; Raul 64',NULL,68' Joaquín x Domínguez; 68' Vicente x Banega; 78' Jordi Alba x Mathieu; 78' Draxler x Farfán; 83' Edu x Jurado; 90' Junmin x Huntelaar,Matip 16'; Ricardo Costa 62'; Schmitz 65'; Neuer 78'; Jurado 80'; Schmitz 90'+3,Schmitz,65%,35%,30,9,21,12,5,7
2010-2011,Octavos,Vuelta,09-03-2011,NULL,NULL,Schalke 04,Valencia,3-1,4-2,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Felix Magath,Unai Emery,NULL,NULL,,,,,,,Farfan 40'; Gavranovic 52'; Kuranyi 90'; Soldado 17',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,16-02-2011,NULL,NULL,AC Milan,Tottenham,0-1,0-1,San Siro,Milan,Italia,NULL,NULL,Massimiliano Allegri,Harry Redknapp,NULL,NULL,,,,,,,Crouch 80',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,09-03-2011,NULL,NULL,Tottenham,AC Milan,0-0,1-0,White Hart Lane,Londres,Inglaterra,NULL,NULL,Harry Redknapp,Massimiliano Allegri,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,15-02-2011,NULL,NULL,Arsenal,Barcelona,2-1,3-4,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Pep Guardiola,NULL,NULL,,,,,,,Van Persie 78'; Arshavin 83'; Villa 26',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,08-03-2011,NULL,NULL,Barcelona,Arsenal,3-1,4-3,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Arsene Wenger,NULL,NULL,,,,,,,Messi 45'; Xavi 69'; Messi 71'; Busquets OG 53',,NULL,NULL,Van Persie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,16-02-2011,NULL,NULL,Roma,Shakhtar,2-3,2-6,Olimpico,Roma,Italia,NULL,NULL,Claudio Ranieri,Mircea Lucescu,NULL,NULL,,,,,,,Perrotta 28'; Menez 61'; Jadson 29'; Douglas Costa 36'; Luiz Adriano 41',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,08-03-2011,NULL,NULL,Shakhtar,Roma,3-0,6-2,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Claudio Ranieri,NULL,NULL,,,,,,,Hubschman 18'; Willian 58'; Eduardo 87',,NULL,NULL,Mexes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,22-02-2011,NULL,NULL,Inter,Bayern Munich,0-1,3-3,San Siro,Milan,Italia,NULL,NULL,Leonardo,Louis van Gaal,NULL,NULL,,,,,,,Gomez 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,15-03-2011,NULL,NULL,Bayern Munich,Inter,2-3,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,Louis van Gaal,Leonardo,NULL,NULL,,,,,,,Gomez 21'; Muller 31'; Eto'o 4'; Sneijder 63'; Pandev 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
