season,country,coefficient_5yr,rank,teams
2004-2005,Spain,73.717,1,8
2004-2005,England,63.224,2,7
2004-2005,Italy,61.186,3,7
2004-2005,France,49.469,4,7
2004-2005,Germany,48.989,5,7
2004-2005,Portugal,44.666,6,6
2004-2005,Netherlands,39.831,7,6
2004-2005,Greece,35.498,8,6
2004-2005,Belgium,31.75,9,4
2004-2005,Scotland,31.75,10,4
2004-2005,Turkey,29.916,11,4
2004-2005,Czech Republic,27.95,12,4
2004-2005,Russia,25.666,13,4
2004-2005,Austria,24.875,14,4
2004-2005,Ukraine,24.85,15,5
2004-2005,Israel,21.874,16,4
2004-2005,Serbia,21.249,17,4
2004-2005,Poland,21.0,18,4
2004-2005,Switzerland,20.875,19,4
2004-2005,Norway,20.2,20,4
2004-2005,Bulgaria,18.54,21,4
2004-2005,Croatia,18.125,22,3
2004-2005,Denmark,17.2,23,3
2004-2005,Hungary,16.331,24,3
2004-2005,Romania,15.457,25,3
2004-2005,Sweden,15.383,26,4
2004-2005,Slovakia,11.665,27,3
2004-2005,Slovenia,9.665,28,3
2004-2005,Cyprus,8.165,29,3
2004-2005,Bosnia-Herzegovina,7.165,30,3
2004-2005,Latvia,6.664,31,3
2004-2005,Finland,6.54,32,3
2004-2005,Moldova,6.332,33,3
2004-2005,Georgia,6.165,34,3
2004-2005,Lithuania,5.332,35,3
2004-2005,Iceland,4.832,36,3
2004-2005,North Macedonia,4.497,37,3
2004-2005,Ireland,4.164,38,3
2004-2005,Belarus,4.082,39,3
2004-2005,Liechtenstein,4.0,40,1
2004-2005,Armenia,2.998,41,4
2004-2005,Malta,2.998,42,3
2004-2005,Albania,2.665,43,3
2004-2005,Estonia,2.498,44,3
2004-2005,Northern Ireland,2.165,45,3
2004-2005,Wales,1.832,46,3
2004-2005,Luxembourg,1.665,47,3
2004-2005,Azerbaijan,1.332,48,3
2004-2005,Faroe Islands,0.999,49,3
2004-2005,Kazakhstan,0.666,50,0
2004-2005,Andorra,0.0,51,1
2004-2005,San Marino,0.0,52,1
2005-2006,Spain,72.748,1,7
2005-2006,Italy,66.731,2,7
2005-2006,England,63.486,3,7
2005-2006,France,50.781,4,8
2005-2006,Germany,48.364,5,8
2005-2006,Portugal,44.041,6,6
2005-2006,Netherlands,41.331,7,6
2005-2006,Greece,32.081,8,6
2005-2006,Russia,31.833,9,4
2005-2006,Romania,31.457,10,3
2005-2006,Scotland,30.375,11,4
2005-2006,Belgium,30.25,12,4
2005-2006,Ukraine,26.6,13,4
2005-2006,Czech Republic,26.575,14,4
2005-2006,Turkey,26.166,15,4
2005-2006,Switzerland,25.875,16,4
2005-2006,Bulgaria,24.29,17,4
2005-2006,Israel,21.541,18,4
2005-2006,Norway,20.975,19,5
2005-2006,Austria,20.375,20,4
2005-2006,Serbia,19.999,21,4
2005-2006,Poland,18.5,22,4
2005-2006,Denmark,16.95,23,4
2005-2006,Hungary,14.665,24,3
2005-2006,Croatia,14.083,25,3
2005-2006,Sweden,13.249,26,3
2005-2006,Slovakia,12.332,27,3
2005-2006,Cyprus,10.165,28,3
2005-2006,Slovenia,10.165,29,3
2005-2006,Bosnia-Herzegovina,8.165,30,3
2005-2006,Finland,7.373,31,3
2005-2006,Latvia,7.164,32,3
2005-2006,Moldova,6.832,33,3
2005-2006,Georgia,6.331,34,3
2005-2006,Lithuania,5.832,35,3
2005-2006,North Macedonia,5.331,36,3
2005-2006,Iceland,4.832,37,3
2005-2006,Liechtenstein,4.5,38,1
2005-2006,Belarus,4.415,39,3
2005-2006,Ireland,4.331,40,3
2005-2006,Albania,3.665,41,3
2005-2006,Armenia,2.998,42,3
2005-2006,Estonia,2.665,43,3
2005-2006,Malta,2.665,44,3
2005-2006,Wales,2.332,45,3
2005-2006,Northern Ireland,2.332,46,3
2005-2006,Azerbaijan,1.999,47,3
2005-2006,Luxembourg,1.832,48,3
2005-2006,Kazakhstan,1.666,49,1
2005-2006,Faroe Islands,1.665,50,3
2005-2006,San Marino,0.0,51,1
2005-2006,Andorra,0.0,52,1
2006-2007,Spain,76.891,1,7
2006-2007,England,68.54,2,8
2006-2007,Italy,66.088,3,7
2006-2007,France,53.656,4,8
2006-2007,Germany,44.364,5,7
2006-2007,Portugal,42.749,6,6
2006-2007,Romania,40.165,7,3
2006-2007,Netherlands,39.379,8,7
2006-2007,Russia,36.125,9,4
2006-2007,Scotland,30.5,10,4
2006-2007,Ukraine,29.475,11,4
2006-2007,Belgium,29.075,12,5
2006-2007,Czech Republic,26.825,13,4
2006-2007,Turkey,26.641,14,5
2006-2007,Greece,25.497,15,6
2006-2007,Bulgaria,24.582,16,4
2006-2007,Switzerland,23.85,17,5
2006-2007,Norway,19.725,18,5
2006-2007,Israel,19.208,19,4
2006-2007,Serbia,18.958,20,4
2006-2007,Denmark,18.575,21,4
2006-2007,Austria,18.5,22,5
2006-2007,Poland,17.0,23,4
2006-2007,Hungary,14.165,24,3
2006-2007,Slovakia,10.832,25,3
2006-2007,Croatia,10.708,26,3
2006-2007,Cyprus,10.582,27,4
2006-2007,Sweden,10.541,28,4
2006-2007,Slovenia,9.915,29,4
2006-2007,Bosnia-Herzegovina,9.665,30,3
2006-2007,Latvia,8.664,31,3
2006-2007,Lithuania,7.332,32,3
2006-2007,Finland,7.331,33,3
2006-2007,Moldova,7.166,34,3
2006-2007,Ireland,6.498,35,3
2006-2007,Georgia,6.164,36,3
2006-2007,Liechtenstein,6.0,37,1
2006-2007,North Macedonia,5.831,38,3
2006-2007,Iceland,4.999,39,3
2006-2007,Belarus,4.665,40,3
2006-2007,Albania,3.832,41,3
2006-2007,Estonia,3.665,42,3
2006-2007,Armenia,3.498,43,3
2006-2007,Azerbaijan,3.166,44,3
2006-2007,Kazakhstan,2.332,45,3
2006-2007,Northern Ireland,2.165,46,3
2006-2007,Wales,1.998,47,3
2006-2007,Faroe Islands,1.665,48,3
2006-2007,Luxembourg,1.665,49,3
2006-2007,Malta,1.665,50,3
2006-2007,San Marino,0.0,51,1
2006-2007,Andorra,0.0,52,1
2007-2008,England,75.749,1,8
2007-2008,Spain,75.266,2,8
2007-2008,Italy,60.41,3,8
2007-2008,France,52.668,4,7
2007-2008,Germany,48.722,5,7
2007-2008,Russia,43.75,6,4
2007-2008,Romania,40.599,7,5
2007-2008,Portugal,39.927,8,7
2007-2008,Netherlands,38.213,9,6
2007-2008,Scotland,33.375,10,4
2007-2008,Turkey,31.725,11,4
2007-2008,Ukraine,30.1,12,4
2007-2008,Belgium,26.7,13,4
2007-2008,Greece,25.831,14,6
2007-2008,Czech Republic,25.75,15,4
2007-2008,Switzerland,24.225,16,4
2007-2008,Bulgaria,23.166,17,4
2007-2008,Norway,22.425,18,5
2007-2008,Denmark,20.45,19,4
2007-2008,Austria,17.7,20,5
2007-2008,Serbia,16.75,21,4
2007-2008,Israel,15.75,22,4
2007-2008,Sweden,13.691,23,5
2007-2008,Slovakia,12.332,24,3
2007-2008,Poland,12.041,25,3
2007-2008,Hungary,11.999,26,3
2007-2008,Croatia,11.624,27,3
2007-2008,Cyprus,10.082,28,3
2007-2008,Slovenia,9.915,29,3
2007-2008,Finland,9.623,30,4
2007-2008,Latvia,8.831,31,3
2007-2008,Bosnia-Herzegovina,8.498,32,3
2007-2008,Lithuania,7.999,33,3
2007-2008,Moldova,7.499,34,3
2007-2008,Ireland,7.332,35,3
2007-2008,North Macedonia,6.331,36,3
2007-2008,Iceland,5.999,37,3
2007-2008,Georgia,5.831,38,3
2007-2008,Liechtenstein,5.5,39,1
2007-2008,Belarus,5.332,40,3
2007-2008,Estonia,4.332,41,3
2007-2008,Azerbaijan,3.832,42,3
2007-2008,Albania,3.666,43,3
2007-2008,Armenia,3.665,44,3
2007-2008,Kazakhstan,2.582,45,4
2007-2008,Northern Ireland,2.332,46,3
2007-2008,Wales,2.331,47,3
2007-2008,Faroe Islands,1.832,48,3
2007-2008,Luxembourg,1.498,49,3
2007-2008,Malta,0.832,50,3
2007-2008,Montenegro,0.5,51,3
2007-2008,Andorra,0.5,52,2
2007-2008,San Marino,0.25,53,2
2008-2009,England,79.499,1,9
2008-2009,Spain,74.266,2,8
2008-2009,Italy,62.91,3,8
2008-2009,Germany,56.695,4,8
2008-2009,France,50.168,5,7
2008-2009,Russia,47.625,6,4
2008-2009,Ukraine,41.85,7,4
2008-2009,Netherlands,39.13,8,6
2008-2009,Romania,38.908,9,7
2008-2009,Portugal,36.462,10,7
2008-2009,Turkey,32.225,11,4
2008-2009,Greece,28.165,12,4
2008-2009,Scotland,27.875,13,4
2008-2009,Belgium,25.325,14,4
2008-2009,Switzerland,25.25,15,5
2008-2009,Denmark,24.45,16,5
2008-2009,Bulgaria,21.25,17,4
2008-2009,Czech Republic,20.75,18,4
2008-2009,Norway,18.8,19,5
2008-2009,Austria,17.825,20,4
2008-2009,Serbia,15.25,21,4
2008-2009,Israel,15.25,22,4
2008-2009,Cyprus,15.082,23,3
2008-2009,Sweden,14.691,24,4
2008-2009,Slovakia,14.665,25,3
2008-2009,Poland,12.916,26,3
2008-2009,Croatia,12.332,27,3
2008-2009,Finland,9.79,28,3
2008-2009,Lithuania,9.666,29,3
2008-2009,Ireland,9.499,30,3
2008-2009,Latvia,9.164,31,3
2008-2009,Slovenia,9.082,32,3
2008-2009,Belarus,8.666,33,3
2008-2009,Bosnia-Herzegovina,8.665,34,3
2008-2009,Hungary,8.166,35,3
2008-2009,Iceland,6.665,36,3
2008-2009,Moldova,6.665,37,3
2008-2009,Georgia,6.664,38,3
2008-2009,Liechtenstein,5.5,39,1
2008-2009,North Macedonia,5.165,40,3
2008-2009,Azerbaijan,4.498,41,3
2008-2009,Estonia,4.332,42,3
2008-2009,Albania,3.999,43,3
2008-2009,Kazakhstan,3.249,44,3
2008-2009,Armenia,2.999,45,3
2008-2009,Wales,2.331,46,3
2008-2009,Northern Ireland,2.165,47,3
2008-2009,Faroe Islands,2.165,48,3
2008-2009,Luxembourg,1.332,49,3
2008-2009,Montenegro,1.0,50,3
2008-2009,Andorra,0.5,51,2
2008-2009,Malta,0.499,52,3
2008-2009,San Marino,0.25,53,2
2009-2010,England,81.856,1,7
2009-2010,Spain,79.757,2,7
2009-2010,Italy,64.338,3,7
2009-2010,Germany,64.207,4,6
2009-2010,France,53.74,5,6
2009-2010,Russia,43.791,6,6
2009-2010,Ukraine,39.55,7,5
2009-2010,Romania,39.491,8,6
2009-2010,Portugal,38.296,9,6
2009-2010,Netherlands,36.546,10,6
2009-2010,Turkey,34.45,11,5
2009-2010,Greece,29.899,12,5
2009-2010,Switzerland,28.375,13,4
2009-2010,Belgium,27.9,14,5
2009-2010,Denmark,27.35,15,5
2009-2010,Scotland,25.791,16,6
2009-2010,Bulgaria,22.0,17,4
2009-2010,Czech Republic,21.975,18,5
2009-2010,Austria,19.575,19,4
2009-2010,Israel,18.875,20,4
2009-2010,Cyprus,17.999,21,4
2009-2010,Norway,17.4,22,5
2009-2010,Slovakia,15.832,23,4
2009-2010,Sweden,14.191,24,4
2009-2010,Serbia,14.0,25,4
2009-2010,Poland,12.541,26,4
2009-2010,Croatia,12.332,27,4
2009-2010,Belarus,11.541,28,4
2009-2010,Ireland,9.541,29,4
2009-2010,Finland,9.499,30,4
2009-2010,Bosnia-Herzegovina,8.749,31,4
2009-2010,Lithuania,8.416,32,4
2009-2010,Latvia,8.248,33,4
2009-2010,Moldova,7.29,34,4
2009-2010,Slovenia,6.957,35,4
2009-2010,Hungary,6.75,36,4
2009-2010,Georgia,5.748,37,4
2009-2010,Azerbaijan,5.498,38,4
2009-2010,Iceland,5.415,39,4
2009-2010,North Macedonia,5.332,40,4
2009-2010,Liechtenstein,4.5,41,1
2009-2010,Kazakhstan,4.499,42,4
2009-2010,Estonia,4.374,43,4
2009-2010,Albania,3.999,44,4
